Compound,A,B,Lowest distortion,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ,In literature
InNbO3,In,Nb,tetragonal,1,5,0.92,0.8,0.64,1.78,1.6,2.392361909,1.955055241,-1.770285714,0.804160653,5.148586357,0.457142857,FALSE
KOsO3,K,Os,cubic,element not in BV,element not in BV,1.64,1.38,0.57,0.82,2.2,3.025719299,1.954921624,-1.959928571,1.091169855,-,0.407142857,FALSE
YbVO3,Yb,V,orthorhombic,2,4,1.14,0.95,0.58,1.1,1.63,2.519261398,1.758039163,-1.934214286,0.907096578,4.231037424,0.414285714,TRUE
TmMoO3,Tm,Mo,cubic,2,4,1.09,0.96,0.65,1.25,2.16,2.411515774,1.7893,-1.80525,0.858876042,4.641470305,0.464285714,FALSE
HfYO3,Hf,Y,cubic,not balanced,not balanced,0.83,0.71,0.9,1.3,1.22,2.358736674,2.235124352,-2.451642857,0.68558614,-,0.642857143,FALSE
SrPrO3,Sr,Pr,orthorhombic,2,4,1.44,1.18,0.85,0.95,1.13,2.768350558,2.340791612,-2.988178571,0.892525893,4.074371523,0.607142857,FALSE
UMoO3,U,Mo,cubic,3,3,1.03,0.85,0.69,1.38,2.16,2.344466993,1.7893,-1.826214286,0.822138506,4.207241977,0.492857143,FALSE
BiThO3,Bi,Th,cubic,2,4,1.38,0.9,0.94,2.02,1.3,2.514401896,2.246056043,-2.686285714,0.840067031,5.136456719,0.671428571,FALSE
CaPbO3,Ca,Pb,orthorhombic,2,4,1.34,1,0.78,1,2.33,2.648077507,2.362863567,-2.169214286,0.88874889,4.144346517,0.557142857,TRUE
AcReO3,Ac,Re,orthorhombic,element not in BV,element not in BV,1.12,1.12,0.57,1.1,1.9,0,1.98797081,-1.792642857,0.90452238,-,0.407142857,FALSE
CeMoO3,Ce,Mo,orthorhombic,3,3,1.34,0.94,0.69,1.12,2.16,2.577786082,1.7893,-2.032,0.927020373,1.806738556,0.492857143,FALSE
BiMoO3,Bi,Mo,orthorhombic,3,3,1.38,0.9,0.69,2.02,2.16,2.514401896,1.7893,-1.8285,0.940553518,1.685155753,0.492857143,FALSE
NiTlO3,Ni,Tl,orthorhombic,not balanced,not balanced,0.59,0.59,1.2,1.91,1.62,2.39068842,2.297683747,-2.5135,0.541208652,-,0.857142857,FALSE
PtIrO3,Pt,Ir,cubic,element not in BV,element not in BV,0.67,0.67,0.63,2.28,2.2,2.422516721,2.009082787,-1.331714286,0.72103992,-,0.45,FALSE
HfTlO3,Hf,Tl,orthorhombic,not balanced,not balanced,0.83,0.71,1.2,1.3,1.62,2.358736674,2.297683747,-2.930928571,0.606480047,-,0.857142857,FALSE
AlReO3,Al,Re,cubic,3,3,0.54,0.54,0.63,1.61,1.9,2.186788809,1.98797081,-1.48275,0.675757219,-23.45904428,0.45,FALSE
CrMoO3,Cr,Mo,orthorhombic,2,4,0.8,0.58,0.65,1.66,2.16,2.258106575,1.7893,-1.5775,0.758846302,10.00871994,0.464285714,FALSE
MgRuO3,Mg,Ru,cubic,2,4,0.89,0.72,0.62,1.31,2.2,2.401380848,2.018753288,-1.6275,0.801621054,6.199840394,0.442857143,FALSE
ZnNbO3,Zn,Nb,rhombohedral,2,4,0.9,0.74,0.68,1.65,1.6,2.375479066,1.955055241,-1.861571429,0.781896922,7.502420623,0.485714286,FALSE
NdLaO3,Nd,La,cubic,3,3,1.27,0.98,1.03,1.14,1.1,2.617633987,2.376509378,-3.172857143,0.776944488,10.01921906,0.735714286,FALSE
PmBeO3,Pm,Be,cubic,element not in BV,element not in BV,1.14,0.97,0.45,1.13,1.57,0,1.803349248,-1.685464286,0.9708385,-,0.321428571,FALSE
CuPuO3,Cu,Pu,cubic,element not in BV,element not in BV,0.68,0.68,0.83,1.9,1.28,2.301547692,2.226583834,-2.000785714,0.659543545,-,0.592857143,FALSE
ErCdO3,Er,Cd,cubic,not balanced,not balanced,1.06,0.89,0.95,1.24,1.69,2.536253277,2.286435201,-2.576071429,0.740205396,-,0.678571429,FALSE
ReSiO3,Re,Si,cubic,not balanced,not balanced,0.57,0.57,0.4,1.9,1.9,2.33939643,1.783360927,-1.024928571,0.773889088,-,0.285714286,FALSE
RhBaO3,Rh,Ba,rhombohedral,not balanced,not balanced,0.61,0.61,1.35,2.28,0.89,2.332748705,2.64009357,-2.773392857,0.516830775,-,0.964285714,FALSE
LaReO3,La,Re,cubic,3,3,1.36,1.03,0.63,1.1,1.9,2.689118757,1.98797081,-2.0485,0.96138656,1.638103726,0.45,FALSE
LuSbO3,Lu,Sb,cubic,3,3,1.03,0.86,0.76,1.27,2.05,2.500929926,2.075848892,-2.034035714,0.795495129,6.216604211,0.542857143,FALSE
AcLiO3,Ac,Li,cubic,element not in BV,element not in BV,1.12,1.12,0.76,1.1,0.98,0,2.095547886,-2.552857143,0.824957911,-,0.542857143,FALSE
TbIrO3,Tb,Ir,cubic,1,5,1.1,0.84,0.57,1.2,2.2,2.557065458,2.009082787,-1.643428571,0.897343631,4.391551283,0.407142857,FALSE
NdSiO3,Nd,Si,cubic,3,3,1.27,0.98,0.4,1.14,1.9,2.617633987,1.783360927,-1.5185,1.048875059,2.744557323,0.285714286,FALSE
TbMnO3,Tb,Mn,orthorhombic,3,3,1.1,0.84,0.65,1.2,1.55,2.557065458,2.16999357,-2.061071429,0.862325343,2.804083187,0.464285714,TRUE
Ru2O3,Ru,Ru,cubic,not balanced,not balanced,0.62,0.62,0.62,2.2,2.2,2.316806575,2.018753288,-1.310857143,0.707106781,-,0.442857143,FALSE
SmHgO3,Sm,Hg,cubic,not balanced,not balanced,1.24,0.96,1.11,1.17,2,2.611965458,2.323654714,-2.901321429,0.743729842,-,0.792857143,FALSE
Hg2O3,Hg,Hg,cubic,not balanced,not balanced,1.14,1.11,1.11,2,2,2.645968153,2.323654714,-2.520857143,0.715558257,-,0.792857143,FALSE
FeRhO3,Fe,Rh,cubic,2,4,0.92,0.67,0.6,1.83,2.28,2.290643632,2.001424352,-1.463285714,0.820243866,5.507762171,0.428571429,FALSE
MoTiO3,Mo,Ti,cubic,3,3,0.69,0.62,0.67,2.16,1.54,2.079035521,1.927848949,-1.597642857,0.713938731,98.12675549,0.478571429,FALSE
MnIrO3,Mn,Ir,cubic,2,4,0.96,0.62,0.63,1.55,2.2,2.472898888,2.009082787,-1.624392857,0.822055174,5.457553712,0.45,FALSE
GaRuO3,Ga,Ru,cubic,1,5,0.62,0.62,0.57,1.81,2.2,2.233187797,2.018753288,-1.306678571,0.725053654,14.39237933,0.407142857,FALSE
ReScO3,Re,Sc,cubic,not balanced,not balanced,0.57,0.57,0.75,1.9,1.36,2.33939643,2.074614707,-1.757357143,0.647907144,-,0.535714286,FALSE
GaInO3,Ga,In,cubic,not balanced,not balanced,0.62,0.62,0.8,1.81,1.78,2.233187797,2.147680955,-1.816142857,0.64925259,-,0.571428571,FALSE
LiPmO3,Li,Pm,cubic,element not in BV,element not in BV,0.92,0.76,0.97,0.98,1.13,2.453211831,0,-2.802928571,0.692188917,-,0.692857143,FALSE
ThAsO3,Th,As,cubic,4,2,1.21,0.94,0.58,1.3,2.18,2.582925572,1.932227032,-1.700357143,0.932095302,-2.238065795,0.414285714,FALSE
PmBiO3,Pm,Bi,cubic,element not in BV,element not in BV,1.14,0.97,0.9,1.13,2.02,0,2.215655462,-2.426357143,0.780891837,-,0.642857143,FALSE
ErTmO3,Er,Tm,cubic,3,3,1.06,0.89,0.88,1.24,1.25,2.536253277,2.119700811,-2.601642857,0.762931001,12.0083841,0.628571429,FALSE
HoHgO3,Ho,Hg,cubic,not balanced,not balanced,1.12,0.9,1.11,1.23,2,2.54631216,2.323654714,-2.815821429,0.70992394,-,0.792857143,FALSE
PmPtO3,Pm,Pt,orthorhombic,element not in BV,element not in BV,1.14,0.97,0.67,1.13,2.28,0,2.64390067,-1.848178571,0.867657596,-,0.478571429,FALSE
PdPrO3,Pd,Pr,orthorhombic,3,3,0.76,0.75,0.99,2.2,1.13,2.37071038,2.340791612,-2.281714286,0.639058848,-16.29670508,0.707142857,FALSE
CaTiO3,Ca,Ti,orthorhombic,2,4,1.34,1,0.61,1,1.54,2.648077507,1.927848949,-2.190285714,0.963916707,3.877842825,0.435714286,TRUE
NaFeO3,Na,Fe,cubic,not balanced,not balanced,1.39,1.02,0.67,0.93,1.83,2.759925005,1.999521816,-2.223,0.953056966,-,0.478571429,FALSE
UAsO3,U,As,cubic,3,3,1.03,0.85,0.58,1.38,2.18,2.344466993,1.932227032,-1.602785714,0.867812868,2.690680254,0.414285714,FALSE
ZnVO3,Zn,V,cubic,2,4,0.9,0.74,0.58,1.65,1.63,2.375479066,1.758039163,-1.665142857,0.821386665,5.47725185,0.414285714,FALSE
HgPrO3,Hg,Pr,cubic,not balanced,not balanced,1.14,1.11,0.92,2,1.13,2.645968153,2.340791612,-2.543928571,0.77416001,-,0.657142857,FALSE
PbAsO3,Pb,As,tetragonal,not balanced,not balanced,1.49,0.99,0.52,2.33,2.18,2.659877134,1.932227032,-1.5155,1.06434302,-,0.371428571,FALSE
ScErO3,Sc,Er,cubic,not balanced,not balanced,0.87,0.75,0.89,1.36,1.24,2.417029414,2.250676638,-2.438142857,0.700931176,-,0.635714286,FALSE
YBO3,Y,B,cubic,3,3,1.08,0.9,0.27,1.22,2.04,2.566448705,1.624661665,-1.085785714,1.050074741,4.841355431,0.192857143,FALSE
NaZrO3,Na,Zr,orthorhombic,not balanced,not balanced,1.39,1.02,0.72,0.93,1.33,2.759925005,2.043777903,-2.577464286,0.930579207,-,0.514285714,FALSE
CdAcO3,Cd,Ac,orthorhombic,element not in BV,element not in BV,1.31,0.95,1.12,1.69,1.1,2.568546104,0,-3.170785714,0.760420388,-,0.8,FALSE
PaAcO3,Pa,Ac,cubic,element not in BV,element not in BV,0.95,0.91,1.12,1.5,1.1,0,0,-2.945928571,0.659405133,-,0.8,FALSE
CdCeO3,Cd,Ce,cubic,2,4,1.31,0.95,0.87,1.69,1.12,2.568546104,2.268642439,-2.698035714,0.844167126,4.967059278,0.621428571,FALSE
NdPrO3,Nd,Pr,cubic,2,4,1.35,0.98,0.85,1.14,1.13,2.617633987,2.340791612,-2.85625,0.864241621,4.513269549,0.607142857,FALSE
AgWO3,Ag,W,cubic,1,5,1.28,0.95,0.62,1.93,2.36,2.76145322,1.7456,-1.589785714,0.93814167,4.106081989,0.442857143,FALSE
BiMnO3,Bi,Mn,orthorhombic,3,3,1.38,0.9,0.65,2.02,1.55,2.514401896,2.16999357,-2.059714286,0.958905781,1.613820779,0.464285714,TRUE
PtHoO3,Pt,Ho,cubic,element not in BV,element not in BV,0.67,0.67,0.9,2.28,1.23,2.422516721,2.25865608,-2.007392857,0.636396103,-,0.642857143,FALSE
LaUO3,La,U,cubic,1,5,1.36,1.03,0.76,1.1,1.38,2.689118757,2.0478,-2.569428571,0.903525332,3.917216845,0.542857143,FALSE
CeRhO3,Ce,Rh,orthorhombic,3,3,1.34,0.94,0.67,1.12,2.28,2.577786082,2.001424352,-1.933428571,0.935977092,1.745722484,0.478571429,FALSE
IrScO3,Ir,Sc,cubic,3,3,0.68,0.63,0.75,2.2,1.36,2.311294958,2.074614707,-1.758714286,0.6840847,-34.89398514,0.535714286,FALSE
TlCeO3,Tl,Ce,cubic,not balanced,not balanced,1.7,1.2,0.94,1.62,1.12,2.531967494,2.268642439,-3.174428571,0.936765394,-,0.671428571,FALSE
LuTlO3,Lu,Tl,orthorhombic,3,3,1.03,0.86,0.89,1.27,1.62,2.500929926,2.297683747,-2.452678571,0.750336017,16.33816399,0.635714286,FALSE
AuMnO3,Au,Mn,cubic,element not in BV,element not in BV,0.93,0.93,0.62,2.54,1.55,2.639131071,2.16999357,-1.58875,0.815623168,-,0.442857143,FALSE
NpCrO3,Np,Cr,orthorhombic,element not in BV,element not in BV,0.98,0.86,0.58,1.36,1.66,0,1.960053288,-1.766428571,0.849956636,-,0.414285714,FALSE
HoSnO3,Ho,Sn,cubic,2,4,1.12,0.9,0.69,1.23,1.96,2.54631216,2.052287148,-1.984321429,0.852588081,4.730942505,0.492857143,FALSE
GeLuO3,Ge,Lu,cubic,not balanced,not balanced,0.63,0.63,0.86,2.01,1.27,2.174450466,2.209114963,-1.984035714,0.635144587,-,0.614285714,FALSE
AcLaO3,Ac,La,cubic,element not in BV,element not in BV,1.12,1.12,1.03,1.1,1.1,0,2.376509378,-3.062214286,0.733295921,-,0.735714286,FALSE
DyScO3,Dy,Sc,orthorhombic,3,3,1.08,0.99,0.75,1.22,1.36,2.550861398,2.074614707,-2.318357143,0.81563945,4.713866954,0.535714286,TRUE
EuPrO3,Eu,Pr,cubic,2,4,1.48,1.06,0.85,1.2,1.13,2.675987786,2.340791612,-2.945285714,0.90509668,3.926535441,0.607142857,FALSE
RuErO3,Ru,Er,cubic,not balanced,not balanced,0.62,0.62,0.89,2.2,1.24,2.316806575,2.250676638,-1.974714286,0.623736113,-,0.635714286,FALSE
RbDyO3,Rb,Dy,rhombohedral,not balanced,not balanced,1.72,1.52,0.99,0.82,1.22,3.112266446,2.255580699,-3.506357143,0.923085003,-,0.707142857,FALSE
AuFeO3,Au,Fe,cubic,element not in BV,element not in BV,0.93,0.93,0.67,2.54,1.83,2.639131071,1.999521816,-1.57325,0.795922126,-,0.478571429,FALSE
AlSiO3,Al,Si,cubic,not balanced,not balanced,0.54,0.54,0.4,1.61,1.9,2.186788809,1.783360927,-1.049857143,0.762103975,-,0.285714286,FALSE
WLiO3,W,Li,orthorhombic,not balanced,not balanced,0.63,0.63,0.76,2.36,0.98,2.106036534,2.095547886,-1.780357143,0.664549429,-,0.542857143,FALSE
MoSnO3,Mo,Sn,orthorhombic,not balanced,not balanced,0.73,0.62,0.69,2.16,1.96,2.079035521,2.052287148,-1.549,0.720639925,-,0.492857143,FALSE
GdVO3,Gd,V,orthorhombic,3,3,1.11,0.94,0.64,1.2,1.63,2.57181216,1.758039163,-2.015821429,0.870018638,2.636609657,0.457142857,TRUE
HoMnO3,Ho,Mn,orthorhombic,3,3,1.12,0.9,0.65,1.23,1.55,2.54631216,2.16999357,-2.067607143,0.869223946,2.654159611,0.464285714,TRUE
TePdO3,Te,Pd,cubic,2,4,0.97,0.77,0.62,2.1,2.2,2.393443528,2.04250519,-1.488,0.829625283,5.249118793,0.442857143,FALSE
EuMoO3,Eu,Mo,orthorhombic,2,4,1.48,1.06,0.65,1.2,2.16,2.675987786,1.7893,-1.995142857,0.993398795,3.68825035,0.464285714,FALSE
PaNdO3,Pa,Nd,cubic,element not in BV,element not in BV,0.95,0.91,0.98,1.5,1.14,0,2.320966993,-2.663357143,0.69819367,-,0.7,FALSE
LaTeO3,La,Te,cubic,2,4,1.36,1.03,0.97,1.1,2.1,2.689118757,2.115491508,-2.653214286,0.823466125,5.740899995,0.692857143,FALSE
CuBeO3,Cu,Be,cubic,not balanced,not balanced,0.68,0.68,0.45,1.9,1.57,2.301547692,1.803349248,-1.2545,0.795017354,-,0.321428571,FALSE
PaHgO3,Pa,Hg,orthorhombic,element not in BV,element not in BV,0.95,0.91,1.11,1.5,2,0,2.323654714,-2.621357143,0.662032245,-,0.792857143,FALSE
FeVO3,Fe,V,cubic,2,4,0.92,0.67,0.58,1.83,1.63,2.290643632,1.758039163,-1.640785714,0.828529158,5.290230255,0.414285714,FALSE
NaCeO3,Na,Ce,cubic,not balanced,not balanced,1.39,1.02,0.94,0.93,1.12,2.759925005,2.268642439,-3.149214286,0.843088854,-,0.671428571,FALSE
AgNbO3,Ag,Nb,rhombohedral,1,5,1.28,0.95,0.64,1.93,1.6,2.76145322,1.955055241,-1.972571429,0.928944203,4.072890082,0.457142857,TRUE
ThNpO3,Th,Np,cubic,element not in BV,element not in BV,1.21,0.94,0.86,1.3,1.36,2.582925572,0,-2.612714286,0.816614469,-,0.614285714,FALSE
InHoO3,In,Ho,cubic,not balanced,not balanced,0.92,0.8,0.9,1.78,1.23,2.392361909,2.25865608,-2.365428571,0.713255536,-,0.642857143,FALSE
RbPmO3,Rb,Pm,cubic,element not in BV,element not in BV,1.72,1.52,0.97,0.82,1.13,3.112266446,0,-3.518357143,0.93087475,-,0.692857143,FALSE
GdYbO3,Gd,Yb,cubic,3,3,1.11,0.94,0.87,1.2,1.1,2.57181216,2.223980699,-2.6925,0.78186697,8.320358221,0.621428571,FALSE
RbGdO3,Rb,Gd,cubic,not balanced,not balanced,1.72,1.52,0.94,0.82,1.2,3.112266446,2.28415608,-3.410428571,0.942809042,-,0.671428571,FALSE
IrWO3,Ir,W,cubic,3,3,0.68,0.63,0.66,2.2,2.36,2.311294958,1.7456,-1.365428571,0.713971896,96.65897738,0.471428571,FALSE
HfTaO3,Hf,Ta,cubic,4,2,0.83,0.71,0.72,1.3,1.5,2.358736674,1.956808277,-2.009928571,0.743796284,18.37720471,0.514285714,FALSE
HoTeO3,Ho,Te,cubic,2,4,1.12,0.9,0.97,1.23,2.1,2.54631216,2.115491508,-2.493321429,0.751860375,13.50361049,0.692857143,FALSE
ReNdO3,Re,Nd,cubic,not balanced,not balanced,0.57,0.57,0.98,1.9,1.14,2.33939643,2.320966993,-2.211214286,0.585294268,-,0.7,FALSE
ZnMoO3,Zn,Mo,orthorhombic,2,4,0.9,0.74,0.65,1.65,2.16,2.375479066,1.7893,-1.625535714,0.793339315,6.663496275,0.464285714,FALSE
MoCeO3,Mo,Ce,rhombohedral,3,3,0.69,0.62,1.01,2.16,1.12,2.079035521,2.268642439,-2.274285714,0.613217084,-12.99294164,0.721428571,FALSE
AsHgO3,As,Hg,cubic,not balanced,not balanced,0.52,0.52,1.11,2.18,2,2.214684508,2.323654714,-2.130642857,0.54089443,-,0.792857143,FALSE
SrFeO3,Sr,Fe,orthorhombic,2,4,1.44,1.18,0.59,0.95,1.83,2.768350558,1.999521816,-2.077535714,1.009137316,3.843561641,0.421428571,FALSE
PrZrO3,Pr,Zr,orthorhombic,3,3,1.18,0.92,0.72,1.13,1.33,2.645083225,2.043777903,-2.367785714,0.860535611,2.896838155,0.514285714,FALSE
AcCaO3,Ac,Ca,orthorhombic,element not in BV,element not in BV,1.12,1.12,1,1.1,1,0,2.318139449,-3.040285714,0.74246212,-,0.714285714,FALSE
WTcO3,W,Tc,cubic,element not in BV,element not in BV,0.63,0.63,0.6,2.36,1.9,2.106036534,0,-1.315071429,0.717713383,-,0.428571429,FALSE
BDyO3,B,Dy,cubic,not balanced,not balanced,0.27,0.27,0.99,2.04,1.22,1.891523329,2.255580699,-1.925357143,0.494087165,-,0.707142857,FALSE
HfAlO3,Hf,Al,cubic,not balanced,not balanced,0.83,0.71,0.54,1.3,1.61,2.358736674,1.892894405,-1.618607143,0.81280831,-,0.385714286,FALSE
PuSrO3,Pu,Sr,orthorhombic,element not in BV,element not in BV,0.96,0.83,1.18,1.28,0.95,2.478196261,2.452968591,-3.213714286,0.646810854,-,0.842857143,FALSE
AsNaO3,As,Na,orthorhombic,not balanced,not balanced,0.52,0.52,1.02,2.18,0.93,2.214684508,2.425828064,-2.178285714,0.561010339,-,0.728571429,FALSE
ThGeO3,Th,Ge,cubic,4,2,1.21,0.94,0.73,1.3,2.01,2.582925572,1.899964183,-2.07275,0.866454788,-0.961810059,0.521428571,FALSE
CuVO3,Cu,V,orthorhombic,1,5,0.77,0.68,0.54,1.9,1.63,2.301547692,1.758039163,-1.458178571,0.790939028,5.611307431,0.385714286,FALSE
YTiO3,Y,Ti,orthorhombic,3,3,1.08,0.9,0.67,1.22,1.54,2.566448705,1.927848949,-2.087214286,0.847161748,3.218228088,0.478571429,TRUE
BNiO3,B,Ni,cubic,2,4,0.27,0.27,0.48,2.04,1.91,1.891523329,2.103725488,-0.97725,0.628121449,-3.0386168,0.342857143,FALSE
CdAlO3,Cd,Al,orthorhombic,not balanced,not balanced,1.31,0.95,0.54,1.69,1.61,2.568546104,1.892894405,-1.857107143,0.987762565,-,0.385714286,FALSE
PmIrO3,Pm,Ir,cubic,element not in BV,element not in BV,1.14,0.97,0.63,1.13,2.2,0,2.009082787,-1.798607143,0.884754298,-,0.45,FALSE
TeTaO3,Te,Ta,cubic,1,5,0.97,0.77,0.64,2.1,1.5,2.393443528,1.956808277,-1.764642857,0.821491702,4.832337246,0.457142857,FALSE
BaKO3,Ba,K,cubic,not balanced,not balanced,1.61,1.35,1.38,0.89,0.82,2.942998888,2.723507129,-4.458714286,0.765608421,-,0.985714286,FALSE
TeCsO3,Te,Cs,orthorhombic,not balanced,not balanced,0.77,0.77,1.67,2.1,0.79,2.393443528,3.009747218,-3.579678571,0.499811634,-,1.192857143,FALSE
NaSrO3,Na,Sr,cubic,not balanced,not balanced,1.39,1.02,1.18,0.93,0.95,2.759925005,2.452968591,-3.743607143,0.764661984,-,0.842857143,FALSE
OsCaO3,Os,Ca,-,element not in BV,element not in BV,0.57,0.57,1,2.2,1,2.30010892,2.318139449,-2.168142857,0.580416816,-,0.714285714,FALSE
AlNpO3,Al,Np,orthorhombic,element not in BV,element not in BV,0.54,0.54,0.86,1.61,1.36,2.186788809,0,-2.019785714,0.606985467,-,0.614285714,FALSE
Zn2O3,Zn,Zn,cubic,not balanced,not balanced,0.9,0.74,0.74,1.65,1.65,2.375479066,2.096140752,-1.957571429,0.759974578,-,0.528571429,FALSE
MoPmO3,Mo,Pm,cubic,element not in BV,element not in BV,0.73,0.62,0.97,2.16,1.13,2.079035521,0,-2.237392857,0.635501031,-,0.692857143,FALSE
MnWO3,Mn,W,rhombohedral,2,4,0.96,0.62,0.66,1.55,2.36,2.472898888,1.7456,-1.626642857,0.810083497,5.885134638,0.471428571,FALSE
PdErO3,Pd,Er,cubic,3,3,0.76,0.75,0.89,2.2,1.24,2.37071038,2.250676638,-2.084714286,0.666965348,-23.65083332,0.635714286,FALSE
PdOsO3,Pd,Os,orthorhombic,element not in BV,element not in BV,0.75,0.75,0.57,2.2,2.2,2.37071038,1.954921624,-1.284857143,0.771715523,-,0.407142857,FALSE
ZrTiO3,Zr,Ti,cubic,2,4,0.89,0.72,0.61,1.33,1.54,2.383420021,1.927848949,-1.813035714,0.805609218,6.019598678,0.435714286,FALSE
MnBiO3,Mn,Bi,orthorhombic,1,5,0.96,0.62,0.76,1.55,2.02,2.472898888,2.215655462,-1.933571429,0.772579631,6.249115512,0.542857143,FALSE
RePaO3,Re,Pa,cubic,element not in BV,element not in BV,0.57,0.57,0.91,1.9,1.5,2.33939643,0,-2.013428571,0.603030458,-,0.65,FALSE
CaNaO3,Ca,Na,orthorhombic,not balanced,not balanced,1.34,1,1.02,1,0.93,2.648077507,2.425828064,-3.343214286,0.800608504,-,0.728571429,FALSE
TaAgO3,Ta,Ag,orthorhombic,not balanced,not balanced,0.74,0.68,0.95,1.5,1.93,2.293677806,2.488353231,-2.224428571,0.643918516,-,0.678571429,FALSE
SiSmO3,Si,Sm,cubic,not balanced,not balanced,0.4,0.4,0.96,1.9,1.17,2.082800509,2.311832729,-2.031714286,0.539318731,-,0.685714286,FALSE
ErHgO3,Er,Hg,cubic,not balanced,not balanced,1.06,0.89,1.11,1.24,2,2.536253277,2.323654714,-2.781,0.693020989,-,0.792857143,FALSE
ThZnO3,Th,Zn,cubic,4,2,1.21,0.94,0.74,1.3,1.65,2.582925572,2.096140752,-2.24825,0.862405934,-0.806904136,0.528571429,FALSE
SmMoO3,Sm,Mo,orthorhombic,2,4,1.32,0.96,0.65,1.17,2.16,2.611965458,1.7893,-1.928964286,0.938209973,3.887124603,0.464285714,FALSE
CsSmO3,Cs,Sm,rhombohedral,not balanced,not balanced,1.88,1.67,0.96,0.79,1.17,3.300175886,2.311832729,-3.612142857,0.982758577,-,0.685714286,FALSE
ReZrO3,Re,Zr,cubic,not balanced,not balanced,0.57,0.57,0.72,1.9,1.33,2.33939643,2.043777903,-1.710107143,0.657075641,-,0.514285714,FALSE
YbPtO3,Yb,Pt,orthorhombic,element not in BV,element not in BV,1.04,0.95,0.67,1.1,2.28,2.519261398,2.64390067,-1.813928571,0.833497848,-,0.478571429,FALSE
CoHoO3,Co,Ho,rhombohedral,3,3,0.61,0.63,0.9,1.88,1.23,2.233562861,2.25865608,-2.088607143,0.617949839,-12.67238515,0.642857143,FALSE
NdFeO3,Nd,Fe,orthorhombic,3,3,1.27,0.98,0.65,1.14,1.83,2.617633987,1.999521816,-2.06275,0.920963466,1.90502571,0.464285714,TRUE
MoAcO3,Mo,Ac,rhombohedral,element not in BV,element not in BV,0.73,0.62,1.12,2.16,1.1,2.079035521,0,-2.498071429,0.597673589,-,0.8,FALSE
OsPmO3,Os,Pm,cubic,element not in BV,element not in BV,0.57,0.57,0.97,2.2,1.13,2.30010892,0,-2.091535714,0.587763865,-,0.692857143,FALSE
BaHgO3,Ba,Hg,orthorhombic,not balanced,not balanced,1.61,1.35,1.11,0.89,2,2.942998888,2.323654714,-3.202607143,0.847964706,-,0.792857143,FALSE
DyPdO3,Dy,Pd,orthorhombic,2,4,1.19,0.99,0.62,1.22,2.2,2.550861398,2.04250519,-1.780285714,0.906636913,4.145754402,0.442857143,FALSE
SmNiO3,Sm,Ni,orthorhombic,3,3,1.24,0.96,0.6,1.17,1.91,2.611965458,2.103725488,-1.901142857,0.933380951,1.874019331,0.428571429,TRUE
CuNpO3,Cu,Np,cubic,element not in BV,element not in BV,0.68,0.68,0.86,1.9,1.36,2.301547692,0,-2.034714286,0.650788542,-,0.614285714,FALSE
BaUO3,Ba,U,orthorhombic,2,4,1.61,1.35,0.89,0.89,1.38,2.942998888,2.0478,-3.088464286,0.929428564,3.67656419,0.635714286,TRUE
NaNbO3,Na,Nb,orthorhombic,1,5,1.39,1.02,0.64,0.93,1.6,2.759925005,1.955055241,-2.273428571,0.96707251,3.987784455,0.457142857,TRUE
AlVO3,Al,V,orthorhombic,3,3,0.54,0.54,0.64,1.61,1.63,2.186788809,1.758039163,-1.553642857,0.672444684,-21.71105415,0.457142857,FALSE
GeNpO3,Ge,Np,cubic,element not in BV,element not in BV,0.63,0.63,0.86,2.01,1.36,2.174450466,0,-1.963785714,0.635144587,-,0.614285714,FALSE
PtNpO3,Pt,Np,cubic,element not in BV,element not in BV,0.67,0.67,0.86,2.28,1.36,2.422516721,0,-1.910571429,0.647659751,-,0.614285714,FALSE
YThO3,Y,Th,cubic,not balanced,not balanced,1.08,0.9,0.94,1.22,1.3,2.566448705,2.246056043,-2.725571429,0.749412315,-,0.671428571,FALSE
BeYbO3,Be,Yb,orthorhombic,not balanced,not balanced,0.45,0.45,0.95,1.57,1.1,2.178341873,2.223980699,-2.177678571,0.55665853,-,0.678571429,FALSE
SmHfO3,Sm,Hf,orthorhombic,2,4,1.32,0.96,0.71,1.17,1.3,2.611965458,2.027412322,-2.45675,0.911531017,3.967924635,0.507142857,FALSE
GdMnO3,Gd,Mn,orthorhombic,3,3,1.11,0.94,0.65,1.2,1.55,2.57181216,2.16999357,-2.067821429,0.865774644,2.727133256,0.464285714,TRUE
PmNdO3,Pm,Nd,cubic,element not in BV,element not in BV,1.14,0.97,0.98,1.13,1.14,0,2.320966993,-2.948928571,0.754643372,-,0.7,FALSE
AsVO3,As,V,cubic,2,4,0.58,0.52,0.58,2.18,1.63,2.214684508,1.758039163,-1.3485,0.707106781,-,0.414285714,FALSE
CeThO3,Ce,Th,cubic,2,4,1.34,0.94,0.94,1.12,1.3,2.577786082,2.246056043,-2.957857143,0.827979735,5.530833695,0.671428571,FALSE
OsCeO3,Os,Ce,cubic,element not in BV,element not in BV,0.57,0.57,0.94,2.2,1.12,2.30010892,2.268642439,-2.043428571,0.595299299,-,0.671428571,FALSE
